seed_id,v_f0,t2_onset,t2_onset_iqr,t2_n_responding,t2_crashed,t1_zero,t1_stat,d_zero,d_stat
1003,13.92,1.6,0.1,4,2,1.6,1.15,0.0,0.45
1583,12.72,1.8,0.05,4,0,1.55,0.95,0.25,0.85
1624,2.29,4.2,0.0,4,0,2.5,1.35,1.7,2.85
1722,6.65,3.2,0.0,4,0,4.05,3.6,-0.85,-0.4
1952,11.96,2.4,0.0,4,0,1.85,1.2,0.55,1.2
2127,5.24,3.6,0.0,4,0,2.15,1.15,1.45,2.45
2236,14.88,2.1,0.4,4,1,1.55,1.0,0.55,1.1
2387,1.68,5.4,0.05,4,0,3.6,2.2,1.8,3.2
2388,1.68,5.4,0.05,4,0,3.4,2.0,2.0,3.4
2516,18.78,1.9,1.0,4,4,1.3,0.8,0.6,1.1
2533,0.0,,,0,0,5.15,4.45,,
2555,0.0,,,0,0,4.75,4.1,,
2566,0.0,,,0,0,3.45,1.65,,
2596,0.0,,,0,0,4.5,3.85,,
2672,0.0,,,0,0,3.25,1.35,,
274,7.97,2.6,0.0,4,0,2.05,1.25,0.55,1.35
2798,0.0,,,0,0,4.0,2.2,,
2983,0.0,,,0,0,2.75,0.85,,
3098,0.0,,,0,0,3.35,1.5,,
3153,0.0,,,0,0,2.95,1.0,,
3164,0.0,,,0,0,4.75,4.1,,
3255,0.0,,,0,0,4.95,4.25,,
3292,0.0,,,0,0,,4.6,,
3367,0.0,,,0,0,4.05,2.25,,
3386,0.0,,,0,0,5.2,4.5,,
3394,0.0,,,0,0,2.45,0.75,,
3456,0.0,,,0,0,3.65,1.85,,
3499,0.7,,,0,0,4.25,3.05,,
3508,2.81,3.7,0.2,4,0,3.4,2.25,0.3,1.45
3627,0.85,9.0,0.0,1,0,2.8,1.15,6.2,7.85
3749,0.35,,,0,0,3.15,1.35,,
3901,0.22,,,0,0,4.05,2.6,,
4004,15.9,2.1,0.25,4,0,3.85,3.4,-1.75,-1.3
4427,26.81,3.4,0.45,4,4,2.65,2.4,0.75,1.0
4538,7.55,3.6,0.0,4,0,3.9,3.45,-0.3,0.15
4609,6.44,2.2,0.0,4,0,2.2,1.5,0.0,0.7
4626,21.89,2.0,0.2,4,4,1.4,1.1,0.6,0.9
4799,14.03,2.4,0.0,4,1,2.3,1.95,0.1,0.45
4852,10.61,1.8,0.0,4,0,1.55,1.1,0.25,0.7
488,1.3,4.0,0.05,4,0,4.85,3.8,-0.85,0.2
7,3.6,3.2,0.0,4,0,2.65,1.55,0.55,1.65
871,35.48,1.9,0.35,4,4,1.65,1.25,0.25,0.65
97,4.67,2.8,0.05,4,0,2.75,1.75,0.05,1.05
